epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,934.197,0.44834,0.55401,0.31813,0.8521,0.9435,0.6186,0.70357,0.60069,0.89497,0.58031,0.66871,0.48832,0.46253,0.68276,0.32533,0.84009,0.00084575,0.00084575,0.00084575
100,943.521,0.4481,0.54886,0.31413,0.85164,0.93232,0.61911,0.69961,0.59784,0.89763,0.56718,0.65555,0.47804,0.45815,0.70679,0.3251,0.83812,0.000841625,0.000841625,0.000841625
101,952.839,0.44698,0.55451,0.31615,0.85167,0.93585,0.62184,0.69603,0.59515,0.88951,0.57773,0.65833,0.4812,0.46141,0.6799,0.32206,0.83922,0.0008375,0.0008375,0.0008375
102,962.142,0.44378,0.5514,0.31395,0.84908,0.93556,0.61998,0.69361,0.59163,0.88852,0.57124,0.65727,0.47338,0.46568,0.72993,0.33033,0.83966,0.000833375,0.000833375,0.000833375
103,971.501,0.44833,0.56503,0.31511,0.84826,0.94075,0.61677,0.69252,0.59202,0.88345,0.58023,0.65531,0.46896,0.46063,0.72289,0.33189,0.83523,0.00082925,0.00082925,0.00082925
104,980.817,0.44663,0.55096,0.31732,0.85009,0.93059,0.6219,0.6931,0.59272,0.90102,0.57031,0.65878,0.47481,0.46074,0.70288,0.33484,0.83813,0.000825125,0.000825125,0.000825125
105,990.122,0.44809,0.55467,0.31563,0.85144,0.93989,0.6175,0.70149,0.59838,0.87644,0.58073,0.66508,0.4823,0.4638,0.68022,0.32881,0.83828,0.000821,0.000821,0.000821
106,999.42,0.44242,0.55338,0.31373,0.85096,0.94205,0.61999,0.69793,0.59678,0.88701,0.58144,0.66229,0.48169,0.45642,0.67038,0.32232,0.83759,0.000816875,0.000816875,0.000816875
107,1008.72,0.44107,0.54541,0.31194,0.84947,0.92843,0.62437,0.69819,0.59587,0.87801,0.58024,0.65989,0.47528,0.45591,0.68556,0.32439,0.83392,0.00081275,0.00081275,0.00081275
108,1018.02,0.44211,0.56853,0.31306,0.84787,0.94475,0.6194,0.70297,0.60294,0.90185,0.57292,0.66609,0.48287,0.45693,0.70512,0.32056,0.8345,0.000808625,0.000808625,0.000808625
109,1027.35,0.43018,0.53215,0.30553,0.84774,0.94404,0.61961,0.70499,0.60654,0.8918,0.58389,0.67059,0.49433,0.44367,0.68753,0.31529,0.83059,0.0008045,0.0008045,0.0008045
110,1036.77,0.4386,0.5411,0.31037,0.85049,0.93217,0.62306,0.70116,0.59972,0.88604,0.57567,0.66011,0.47497,0.46188,0.69799,0.32749,0.83813,0.000800375,0.000800375,0.000800375
111,1046.09,0.43806,0.54799,0.30887,0.84515,0.94143,0.62305,0.70554,0.6057,0.89871,0.57831,0.67101,0.49139,0.45611,0.69006,0.3225,0.83401,0.00079625,0.00079625,0.00079625
112,1055.41,0.44244,0.5549,0.3105,0.8488,0.9378,0.6241,0.70019,0.59743,0.88072,0.58324,0.66144,0.47954,0.45398,0.66528,0.32126,0.83447,0.000792125,0.000792125,0.000792125
113,1064.68,0.43511,0.54068,0.30691,0.84847,0.94922,0.62011,0.7045,0.60404,0.89067,0.57815,0.66631,0.48261,0.44512,0.67637,0.31392,0.8328,0.000788,0.000788,0.000788
114,1073.98,0.43339,0.53767,0.30467,0.84644,0.9311,0.62705,0.70001,0.59904,0.89469,0.57883,0.66526,0.48428,0.44666,0.68245,0.31875,0.82991,0.000783875,0.000783875,0.000783875
115,1083.32,0.4337,0.54533,0.30564,0.85049,0.94907,0.6174,0.69401,0.59074,0.90459,0.57742,0.66209,0.47843,0.45924,0.71671,0.32601,0.83882,0.00077975,0.00077975,0.00077975
116,1092.63,0.43799,0.55481,0.30599,0.84927,0.94265,0.61855,0.70019,0.59578,0.90113,0.57904,0.66762,0.48556,0.46051,0.7036,0.32283,0.8427,0.000775625,0.000775625,0.000775625
117,1101.99,0.43173,0.54329,0.30676,0.84847,0.93628,0.62267,0.70815,0.60777,0.87974,0.57456,0.66434,0.48217,0.44975,0.67419,0.31489,0.83628,0.0007715,0.0007715,0.0007715
118,1111.32,0.43939,0.54841,0.313,0.85032,0.94722,0.61569,0.70848,0.61118,0.91127,0.57209,0.67341,0.4964,0.44606,0.66391,0.3167,0.83511,0.000767375,0.000767375,0.000767375
119,1120.77,0.4289,0.53394,0.30459,0.84551,0.93754,0.62611,0.70237,0.60164,0.89043,0.58372,0.66834,0.48698,0.43969,0.66504,0.31459,0.83421,0.00076325,0.00076325,0.00076325
120,1130.09,0.43097,0.52604,0.29785,0.84663,0.93405,0.6266,0.70957,0.61066,0.88975,0.57699,0.67206,0.49242,0.44419,0.68858,0.31538,0.83179,0.000759125,0.000759125,0.000759125
121,1139.46,0.42905,0.53532,0.29842,0.84291,0.93678,0.62287,0.71744,0.62025,0.88869,0.57303,0.67382,0.49652,0.44208,0.6949,0.3197,0.83276,0.000755,0.000755,0.000755
122,1148.92,0.42858,0.53202,0.29959,0.84482,0.94849,0.61739,0.71053,0.61156,0.90043,0.57694,0.67618,0.4964,0.44733,0.67906,0.31892,0.83264,0.000750875,0.000750875,0.000750875
123,1158.26,0.42685,0.53419,0.30294,0.84511,0.92511,0.62961,0.71214,0.6125,0.89943,0.57458,0.67168,0.49078,0.44475,0.66723,0.31669,0.83132,0.00074675,0.00074675,0.00074675
124,1167.58,0.42516,0.53334,0.30055,0.84296,0.93951,0.62597,0.71116,0.61315,0.89305,0.59103,0.68364,0.50806,0.45262,0.66277,0.31386,0.84296,0.000742625,0.000742625,0.000742625
125,1177.03,0.42516,0.53336,0.29872,0.84098,0.94049,0.62113,0.70545,0.60868,0.89043,0.57283,0.66354,0.48272,0.43905,0.66271,0.30925,0.83097,0.0007385,0.0007385,0.0007385
126,1186.35,0.42149,0.51949,0.29595,0.84162,0.94807,0.62051,0.70255,0.60688,0.89984,0.57789,0.66666,0.48231,0.44291,0.67352,0.31436,0.83253,0.000734375,0.000734375,0.000734375
127,1195.67,0.42298,0.51864,0.29823,0.83919,0.94302,0.61893,0.70662,0.61172,0.89292,0.58097,0.67441,0.49761,0.44643,0.67572,0.31546,0.8374,0.00073025,0.00073025,0.00073025
128,1205,0.41937,0.5272,0.29825,0.84192,0.94773,0.62047,0.70333,0.60613,0.88957,0.5752,0.66211,0.48491,0.43862,0.68729,0.3149,0.83282,0.000726125,0.000726125,0.000726125
